country,start_date,end_date,est_date,rt,irat,rank
Algeria,2020-03-04,2020-05-29,2020-05-25,0.88,0.87,0.77
Belgium,2020-03-02,2020-05-29,2020-05-25,0.89,0.17,0.15
Canada,2020-03-02,2020-05-29,2020-05-25,0.9,0.59,0.53
South Sudan,2020-04-13,2020-05-29,2020-05-25,0.9,0.63,0.57
Indonesia,2020-03-09,2020-05-29,2020-05-25,0.91,0.97,0.88
United States,2020-03-02,2020-05-29,2020-05-25,0.93,0.68,0.63
Honduras,2020-03-19,2020-05-29,2020-05-25,0.93,0.84,0.78
Poland,2020-03-11,2020-05-29,2020-05-25,0.93,0.95,0.88
Russia,2020-03-02,2020-05-29,2020-05-25,0.95,0.8,0.76
Netherlands,2020-03-06,2020-05-29,2020-05-25,0.98,0.17,0.17
Iran,2020-03-02,2020-05-29,2020-05-25,0.98,0.78,0.76
Belarus,2020-03-06,2020-05-29,2020-05-25,0.98,0.97,0.95
Venezuela,2020-03-22,2020-05-29,2020-05-25,0.98,1.0,0.98
United Kingdom,2020-03-02,2020-05-29,2020-05-25,0.99,0.42,0.42
Senegal,2020-03-10,2020-05-29,2020-05-25,0.99,0.83,0.82
El Salvador,2020-03-26,2020-05-29,2020-05-25,1.0,1.0,1.0
Germany,2020-03-02,2020-05-29,2020-05-25,1.03,0.11,0.11
Malaysia,2020-03-02,2020-05-29,2020-05-25,1.05,0.33,0.35
Guatemala,2020-03-22,2020-05-29,2020-05-25,1.06,0.93,0.99
Romania,2020-03-05,2020-05-29,2020-05-25,1.07,0.53,0.57
Puerto Rico,2020-04-04,2020-05-29,2020-05-25,1.07,1.0,1.07
Dominican Republic,2020-03-09,2020-05-29,2020-05-25,1.08,1.0,1.08
Afghanistan,2020-03-03,2020-05-29,2020-05-25,1.09,0.99,1.08
Bahrain,2020-03-02,2020-05-29,2020-05-25,1.09,1.0,1.09
Moldova,2020-03-15,2020-05-29,2020-05-25,1.09,1.0,1.09
World,2020-03-02,2020-05-29,2020-05-25,1.09,1.0,1.09
Australia,2020-03-02,2020-05-29,2020-05-25,1.1,0.03,0.03
Kazakhstan,2020-03-22,2020-05-29,2020-05-25,1.1,1.0,1.1
Sweden,2020-03-02,2020-05-29,2020-05-25,1.11,0.94,1.04
Bangladesh,2020-03-16,2020-05-29,2020-05-25,1.11,1.0,1.11
Pakistan,2020-03-05,2020-05-29,2020-05-25,1.11,1.0,1.11
Portugal,2020-03-10,2020-05-29,2020-05-25,1.12,0.35,0.39
Guinea,2020-03-21,2020-05-29,2020-05-25,1.12,1.0,1.12
Qatar,2020-03-08,2020-05-29,2020-05-25,1.13,1.0,1.13
India,2020-03-02,2020-05-29,2020-05-25,1.14,1.0,1.14
Finland,2020-03-02,2020-05-29,2020-05-25,1.15,0.3,0.34
Mexico,2020-03-07,2020-05-29,2020-05-25,1.15,1.0,1.15
Chile,2020-03-11,2020-05-29,2020-05-25,1.17,1.0,1.17
Norway,2020-03-05,2020-05-29,2020-05-25,1.18,0.07,0.08
Djibouti,2020-03-26,2020-05-29,2020-05-25,1.18,1.0,1.18
Argentina,2020-03-11,2020-05-29,2020-05-25,1.19,1.0,1.19
Japan,2020-03-02,2020-05-29,2020-05-25,1.2,0.09,0.11
Gabon,2020-03-20,2020-05-29,2020-05-25,1.2,1.0,1.2
Brazil,2020-03-04,2020-05-29,2020-05-25,1.22,1.0,1.22
Spain,2020-03-02,2020-05-28,2020-05-24,1.24,0.11,0.14
South Africa,2020-03-13,2020-05-29,2020-05-25,1.24,1.0,1.24
Armenia,2020-03-08,2020-05-29,2020-05-25,1.25,1.0,1.25
Azerbaijan,2020-03-07,2020-05-29,2020-05-25,1.27,1.0,1.27
Egypt,2020-03-02,2020-05-29,2020-05-25,1.28,1.0,1.28
Peru,2020-03-14,2020-05-29,2020-05-25,1.29,1.0,1.29
Oman,2020-03-03,2020-05-29,2020-05-25,1.3,1.0,1.3
Uzbekistan,2020-03-23,2020-05-29,2020-05-25,1.34,0.87,1.17
Colombia,2020-03-14,2020-05-29,2020-05-25,1.34,1.0,1.34
Ukraine,2020-03-11,2020-05-29,2020-05-25,1.35,1.0,1.35
Democratic Republic of Congo,2020-03-18,2020-05-29,2020-05-25,1.36,1.0,1.36
Turkey,2020-03-19,2020-05-29,2020-05-25,1.4,0.37,0.52
Haiti,2020-03-27,2020-05-29,2020-05-25,1.42,1.0,1.42
Cote d'Ivoire,2020-03-19,2020-05-29,2020-05-25,1.48,1.0,1.48
Bolivia,2020-03-19,2020-05-29,2020-05-25,1.49,1.0,1.49
Kyrgyzstan,2020-03-26,2020-05-29,2020-05-25,1.54,1.0,1.54
Iraq,2020-03-03,2020-05-29,2020-05-25,1.56,1.0,1.56
Panama,2020-03-17,2020-05-29,2020-05-25,1.57,1.0,1.57
Philippines,2020-03-02,2020-05-29,2020-05-25,1.66,1.0,1.66
Ethiopia,2020-03-21,2020-05-29,2020-05-25,1.73,1.0,1.73
Kenya,2020-03-21,2020-05-29,2020-05-25,1.76,1.0,1.76
South Korea,2020-03-02,2020-05-29,2020-05-25,1.82,0.09,0.16
Somalia,2020-03-24,2020-05-29,2020-05-25,1.86,1.0,1.86
Sri Lanka,2020-03-02,2020-05-29,2020-05-25,1.91,1.0,1.91
Nepal,2020-03-02,2020-05-29,2020-05-25,1.97,1.0,1.97
Israel,2020-03-02,2020-05-29,2020-05-25,2.32,0.09,0.21
Thailand,2020-03-02,2020-05-29,2020-05-25,2.42,0.07,0.17
France,2020-03-02,2020-05-29,2020-05-25,2.82,0.46,1.3
Malawi,2020-04-10,2020-05-29,2020-05-25,3.5,1.0,3.5
